location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,horsepower
Tunis,,230000.0,Noir,48500.0,Avec kilométrage,1.8,2008.0,Automatique,Mercedes-Benz,Classe C Coupe,Berline,Essence,11.0
Ariana,3.0,153000.0,Noir,59000.0,Avec kilométrage,2.0,2012.0,Automatique,Kia,Sportage,4 x 4,Essence,11.0
Sfax,3.0,42000.0,Orange,41500.0,Nouveau,1.6,2022.0,Manuelle,Kia,Picanto,Berline,Essence,4.0
Tunis,4.0,46000.0,Blanc,139000.0,Avec kilométrage,1.5,2020.0,Automatique,BMW,Serie 1,Berline,Essence,8.0
La Manouba,5.0,75000.0,Noir,45000.0,Avec kilométrage,1.5,2021.0,Automatique,MG,ZS,4 x 4,Essence,7.0
Sousse,8.0,204000.0,Bleu,52500.0,Avec kilométrage,2.0,2011.0,Manuelle,BMW,Serie 3 GT,Berline,Diesel,6.0
Ben Arous,8.0,60000.0,Bleu,48000.0,Avec kilométrage,1.5,2021.0,Automatique,MG,3,Compacte,Essence,7.0
Tunis,9.0,51000.0,Blanc,69000.0,Avec kilométrage,1.2,2021.0,Manuelle,Peugeot,2008,Autres,Essence,6.0
Tunis,9.0,46000.0,Noir,62000.0,Avec kilométrage,1.6,2021.0,Manuelle,Seat,Ibiza,Compacte,Essence,4.0
Sfax,11.0,3700.0,Noir,78000.0,Nouveau,1.4,2023.0,Automatique,Kia,Rio,Compacte,Essence,6.0
Kairouan,11.0,120000.0,Noir,78000.0,Nouveau,1.6,2018.0,Automatique,BMW,Serie 3,Berline,Essence,7.0
Kairouan,11.0,170000.0,Noir,36000.0,Nouveau,2.0,2013.0,Manuelle,Volkswagen,Jetta,Berline,Essence,8.0
Kairouan,11.0,106000.0,Noir,148000.0,Nouveau,2.0,2018.0,Automatique,BMW,Serie 5,Berline,Essence,10.0
Kairouan,11.0,70000.0,Blanc,48500.0,Nouveau,1.6,2021.0,Manuelle,Seat,Ibiza,Compacte,Essence,4.0
Kairouan,11.0,140000.0,Blanc,63500.0,Nouveau,1.4,2018.0,Manuelle,Volkswagen,Passat,Berline,Essence,8.0
Kairouan,11.0,70000.0,Gris,60000.0,Nouveau,1.6,2021.0,Manuelle,Dacia,Sandero,Compacte,Essence,6.0
Kairouan,11.0,80000.0,Noir,65000.0,Nouveau,1.2,2020.0,Manuelle,Kia,Rio,Berline,Essence,5.0
Kairouan,11.0,90000.0,Noir,38000.0,Nouveau,1.2,2019.0,Manuelle,Suzuki,Swift,Berline,Essence,5.0
Kairouan,11.0,120000.0,Noir,56000.0,Nouveau,1.2,2019.0,Automatique,Peugeot,2008,Autres,Essence,6.0
Sfax,13.0,147.0,Blanc,77000.0,Nouveau,1.8,2016.0,Automatique,Mercedes-Benz,Classe A,Autres,Essence,6.0
Tunis,15.0,123000.0,Gris,39000.0,Avec kilométrage,1.6,2017.0,Manuelle,Peugeot,308,Berline,Essence,6.0
Tunis,16.0,116000.0,Noir,70000.0,Avec kilométrage,1.2,2019.0,Automatique,Peugeot,3008,Autres,Essence,7.0
Tunis,18.0,300000.0,Gris,22000.0,Avec kilométrage,1.9,2001.0,Manuelle,Volkswagen,Jetta,Berline,Diesel,6.0
Monastir,19.0,170000.0,Blanc,42000.0,Avec kilométrage,2.0,2015.0,Manuelle,Volkswagen,Transporter,Monospace,Diesel,8.0
Ariana,20.0,213.0,Blanc,41500.0,Avec kilométrage,1.6,2015.0,Automatique,Nissan,Juke,Autres,Essence,7.0
Sousse,20.0,146000.0,Noir,48000.0,Avec kilométrage,1.2,2015.0,Automatique,Seat,Leon,Compacte,Essence,6.0
Tunis,21.0,200000.0,Noir,45000.0,Avec kilométrage,1.2,2013.0,Manuelle,Volkswagen,Golf,Berline,Essence,5.0
Ben Arous,21.0,215000.0,Gris,36500.0,Avec kilométrage,1.2,2015.0,Manuelle,Kia,Rio,Berline,Essence,5.0
Nabeul,21.0,332000.0,Bleu,34000.0,Avec kilométrage,1.6,2010.0,Manuelle,Volkswagen,Passat,Berline,Essence,7.0
Tunis,,92000.0,Blanc,48000.0,Avec kilométrage,1.2,2015.0,Automatique,Renault,Capture,Berline,Essence,6.0
Tunis,,118000.0,Gris,41000.0,Avec kilométrage,1.2,2016.0,Manuelle,Peugeot,2008,Autres,Essence,5.0
Ben Arous,,250000.0,Rouge,55000.0,Avec kilométrage,2.0,2016.0,Automatique,Mazda,6,Berline,Essence,9.0
Nabeul,,180000.0,Noir,44000.0,Nouveau,1.5,2017.0,Manuelle,Ford,Fusion,Berline,Essence,9.0
Tunis,60.0,82000.0,Noir,69900.0,Avec kilométrage,1.7,2018.0,Automatique,BMW,Serie 3,Berline,Essence,7.0
Mahdia,60.0,76.0,Gris,11111.0,Avec kilométrage,1.2,2014.0,Manuelle,lancia,Ypsilon,Autres,Essence,4.0
Tunis,,8000.0,Autre,184000.0,Nouveau,1.6,2024.0,Automatique,Mercedes-Benz,Classe A,Berline,Hybride essence,8.0
Ariana,,90000.0,Noir,45000.0,Avec kilométrage,1.5,2013.0,Manuelle,Dacia,Duster,Compacte,Essence,7.0
Nabeul,,65000.0,Noir,52000.0,Nouveau,1.2,2020.0,Automatique,Peugeot,2008,Berline,Essence,6.0
